line_code	env_code	FTdap	FTgdd
Line170	TS_08L	83.5	2488.7475
Line170	TS_09	118	2876.9175
Line171	FU_08	89	2668.98
Line171	HA_08	74.5	2617.56
Line171	ISA_08	103	2160.9
Line171	ISI_08	71	2539.17
Line171	TH_08	71.5	2495.295
Line171	TS_07	87.5	2124.4725
Line171	TS_08E	116	2060.46
Line171	TS_08L	78	2349.3375
Line171	TS_09	100	2308.2075
Line172	FU_08	72	2169.945
Line172	HA_08	63	2223.855
Line172	ISA_08	101.5	2094.21
Line172	ISI_08	62	2224.665
Line172	TH_08	NA	NA
Line172	TS_07	88.5	2160.4275
Line172	TS_08E	120.5	2196.99
Line172	TS_08L	67	2009.25
Line172	TS_09	98.5	2248.6275
Line173	FU_08	72	2169.945
Line173	HA_08	66.5	2335.05
Line173	ISA_08	98.5	2004.12
Line173	ISI_08	64	2295.765
Line173	TH_08	NA	NA
Line173	TS_07	88.5	2160.4275
Line173	TS_08E	117	2095.92
Line173	TS_08L	67	2009.25
Line173	TS_09	98.5	2248.6275
Line174	FU_08	90	2700.18
Line174	HA_08	75	2653.29
Line174	ISA_08	98.5	2004.12
Line174	ISI_08	75	2675.07
Line174	TH_08	NA	NA
Line174	TS_07	88	2160.4275
Line174	TS_08E	111	1893.015
Line174	TS_08L	77.5	2319.0075
Line174	TS_09	95	2165.5125
Line175	FU_08	70	2097.465
Line175	HA_08	65	2297.925
Line175	ISA_08	93	1835.0325
Line175	ISI_08	60	2152.89
Line175	TH_08	NA	NA
Line175	TS_07	85	2053.8225
Line175	TS_08E	112	1924.83
Line175	TS_08L	64	1930.2525
Line175	TS_09	93	2108.205
Line176	FU_08	NA	NA
Line176	HA_08	79	2789.325
Line176	ISA_08	98	2004.12
Line176	ISI_08	76	2710.17
Line176	TH_08	NA	NA
Line176	TS_07	85	2053.8225
Line176	TS_08E	115	2025.225
Line176	TS_08L	76	2289.0825
Line176	TS_09	93	2108.205
Line18	FU_08	66	1953.87
Line18	HA_08	63.5	2223.855
Line18	ISA_08	85	1561.86
Line18	ISI_08	64	2295.765
Line18	TH_08	61	2171.43
Line18	TS_07	79	1847.8125
Line18	TS_08E	100.5	1549.08
Line18	TS_08L	60	1837.8
Line18	TS_09	81.5	1738.935
Line19	FU_08	72	2169.945
Line19	HA_08	66	2335.05
Line19	ISA_08	89	1692.1575
Line19	ISI_08	68	2438.325
Line19	TH_08	63.5	2238.21
Line19	TS_07	81	1913.2425
Line19	TS_08E	108	1794.42
Line19	TS_08L	68	2039.67
Line19	TS_09	89	1976.535
